T,X,Y
0.000000,0.000000,0.000000
0.001000,0.012856,0.015311
0.002000,0.025712,0.030612
0.003000,0.038567,0.045904
0.004000,0.051423,0.061185
0.005000,0.064279,0.076457
0.006000,0.077135,0.091719
0.007000,0.089990,0.106972
0.008000,0.102846,0.122214
0.009000,0.115702,0.137447
0.010000,0.128558,0.152669
0.011000,0.141413,0.167882
0.012000,0.154269,0.183085
0.013000,0.167125,0.198279
0.014000,0.179981,0.213462
0.015000,0.192836,0.228636
0.016000,0.205692,0.243800
0.017000,0.218548,0.258954
0.018000,0.231404,0.274098
0.019000,0.244259,0.289233
0.020000,0.257115,0.304358
0.021000,0.269971,0.319473
0.022000,0.282827,0.334578
0.023000,0.295682,0.349673
0.024000,0.308538,0.364758
0.025000,0.321394,0.379834
0.026000,0.334250,0.394900
0.027000,0.347105,0.409956
0.028000,0.359961,0.425002
0.029000,0.372817,0.440038
0.030000,0.385673,0.455065
0.031000,0.398528,0.470082
0.032000,0.411384,0.485089
0.033000,0.424240,0.500086
0.034000,0.437096,0.515073
0.035000,0.449951,0.530051
0.036000,0.462807,0.545019
0.037000,0.475663,0.559976
0.038000,0.488519,0.574925
0.039000,0.501374,0.589863
0.040000,0.514230,0.604791
0.041000,0.527086,0.619710
0.042000,0.539942,0.634619
0.043000,0.552797,0.649518
0.044000,0.565653,0.664407
0.045000,0.578509,0.679287
0.046000,0.591365,0.694156
0.047000,0.604220,0.709016
0.048000,0.617076,0.723866
0.049000,0.629932,0.738706
0.050000,0.642788,0.753537
0.051000,0.655643,0.768357
0.052000,0.668499,0.783168
0.053000,0.681355,0.797969
0.054000,0.694211,0.812760
0.055000,0.707066,0.827541
0.056000,0.719922,0.842313
0.057000,0.732778,0.857075
0.058000,0.745634,0.871827
0.059000,0.758489,0.886569
0.060000,0.771345,0.901301
0.061000,0.784201,0.916024
0.062000,0.797057,0.930736
0.063000,0.809912,0.945439
0.064000,0.822768,0.960132
0.065000,0.835624,0.974815
0.066000,0.848480,0.989489
0.067000,0.861335,1.004152
0.068000,0.874191,1.018806
0.069000,0.887047,1.033450
0.070000,0.899903,1.048084
0.071000,0.912758,1.062709
0.072000,0.925614,1.077323
0.073000,0.938470,1.091928
0.074000,0.951326,1.106523
0.075000,0.964181,1.121108
0.076000,0.977037,1.135683
0.077000,0.989893,1.150249
0.078000,1.002749,1.164805
0.079000,1.015604,1.179351
0.080000,1.028460,1.193887
0.081000,1.041316,1.208413
0.082000,1.054172,1.222929
0.083000,1.067027,1.237436
0.084000,1.079883,1.251933
0.085000,1.092739,1.266420
0.086000,1.105595,1.280897
0.087000,1.118450,1.295365
0.088000,1.131306,1.309822
0.089000,1.144162,1.324270
0.090000,1.157018,1.338708
0.091000,1.169873,1.353136
0.092000,1.182729,1.367555
0.093000,1.195585,1.381963
0.094000,1.208441,1.396362
0.095000,1.221296,1.410751
0.096000,1.234152,1.425130
0.097000,1.247008,1.439499
0.098000,1.259864,1.453859
0.099000,1.272719,1.468208
0.100000,1.285575,1.482548
0.101000,1.298431,1.496878
0.102000,1.311287,1.511199
0.103000,1.324142,1.525509
0.104000,1.336998,1.539810
0.105000,1.349854,1.554101
0.106000,1.362710,1.568382
0.107000,1.375565,1.582653
0.108000,1.388421,1.596914
0.109000,1.401277,1.611166
0.110000,1.414133,1.625408
0.111000,1.426988,1.639640
0.112000,1.439844,1.653862
0.113000,1.452700,1.668074
0.114000,1.465556,1.682277
0.115000,1.478412,1.696470
0.116000,1.491267,1.710652
0.117000,1.504123,1.724826
0.118000,1.516979,1.738989
0.119000,1.529835,1.753142
0.120000,1.542690,1.767286
0.121000,1.555546,1.781420
